,tissue_ontology_term_id,organism_ontology_term_id,tissue_original_ontology_term_id,dataset_id,disease_ontology_term_id,self_reported_ethnicity_ontology_term_id,sex_ontology_term_id,publication_citation,gene_ontology_term_id,cell_type_ontology_term_id,n_cells_cell_type,n_cells_tissue,n,me,pc,tpc,tissue_name,organism_name,gene_name,cell_type_name,disease_name,self_reported_ethnicity_name,sex_name,tissue_original_name
16,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000003,CL:0002145,351,290857,184,2.239268095596977,0.5242165242165242,0.0006326132773149692,nose,Homo sapiens,,ciliated columnar cell of tracheobronchial tree,chronic rhinitis,,female,nose
17,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000003,CL:0002368,3961,290857,617,2.035424923394449,0.15576874526634688,0.0021213173483876956,nose,Homo sapiens,,respiratory epithelial cell,chronic rhinitis,,female,nose
18,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000003,CL:0002399,191,290857,1,1.5625011920928955,0.005235602094240838,3.4381156375813543e-06,nose,Homo sapiens,,CD1c-positive myeloid dendritic cell,chronic rhinitis,,female,nose
19,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000003,CL:0002480,402,290857,100,2.0490457153320314,0.24875621890547264,0.00034381156375813546,nose,Homo sapiens,,nasal mucosa goblet cell,chronic rhinitis,,female,nose
20,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000003,CL:0002543,311,290857,19,1.9536616676732113,0.06109324758842444,6.532419711404573e-05,nose,Homo sapiens,,vein endothelial cell,chronic rhinitis,,female,nose
21,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000003,CL:0002553,132,290857,11,2.0559376803311435,0.08333333333333333,3.78192720133949e-05,nose,Homo sapiens,,fibroblast of lung,chronic rhinitis,,female,nose
22,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000003,CL:0002632,951,290857,296,2.1256406629407727,0.31125131440588855,0.001017682228724081,nose,Homo sapiens,,epithelial cell of lower respiratory tract,chronic rhinitis,,female,nose
23,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000003,CL:0002633,3006,290857,320,1.9529605865478517,0.10645375914836992,0.0011001970040260334,nose,Homo sapiens,,respiratory basal cell,chronic rhinitis,,female,nose
24,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000003,CL:0005006,38,290857,9,2.1382950676812067,0.23684210526315788,3.094304073823219e-05,nose,Homo sapiens,,ionocyte,chronic rhinitis,,female,nose
25,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000003,CL:0005012,375,290857,189,2.2311183384486606,0.504,0.000649803855502876,nose,Homo sapiens,,multi-ciliated epithelial cell,chronic rhinitis,,female,nose
26,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000003,CL:0011115,3601,290857,429,1.949461183347902,0.11913357400722022,0.001474951608522401,nose,Homo sapiens,,precursor cell,chronic rhinitis,,female,nose
27,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000003,CL:0019001,89,290857,18,1.860513687133789,0.20224719101123595,6.188608147646438e-05,nose,Homo sapiens,,tracheobronchial serous cell,chronic rhinitis,,female,nose
28,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000003,CL:0019019,39,290857,4,2.2920594215393066,0.10256410256410256,1.3752462550325417e-05,nose,Homo sapiens,,tracheobronchial smooth muscle cell,chronic rhinitis,,female,nose
29,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000003,CL:1001568,24,290857,1,2.0646212100982666,0.041666666666666664,3.4381156375813543e-06,nose,Homo sapiens,,pulmonary artery endothelial cell,chronic rhinitis,,female,nose
30,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000003,CL:1001603,24,290857,1,1.427331805229187,0.041666666666666664,3.4381156375813543e-06,nose,Homo sapiens,,lung macrophage,chronic rhinitis,,female,nose
31,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000003,CL:2000093,100,290857,6,2.047443707784017,0.06,2.0628693825488128e-05,nose,Homo sapiens,,bronchus fibroblast of lung,chronic rhinitis,,female,nose
32,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000003,CL:4028006,32,290857,5,2.066130447387695,0.15625,1.7190578187906772e-05,nose,Homo sapiens,,alveolar type 2 fibroblast cell,chronic rhinitis,,female,nose
33,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000003,CL:4030023,4,290857,1,1.720093846321106,0.25,3.4381156375813543e-06,nose,Homo sapiens,,respiratory hillock cell,chronic rhinitis,,female,nose
34,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000419,CL:0000003,12692,290857,1465,1.9561513438566553,0.11542704065553104,0.005036839409056684,nose,Homo sapiens,,native cell,chronic rhinitis,,female,nose
35,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000419,CL:0000066,4795,290857,627,1.954316499700957,0.13076120959332638,0.0021556985047635094,nose,Homo sapiens,,epithelial cell,chronic rhinitis,,female,nose
36,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000419,CL:0000071,335,290857,41,2.032041410120522,0.12238805970149254,0.00014096274114083553,nose,Homo sapiens,,blood vessel endothelial cell,chronic rhinitis,,female,nose
37,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000419,CL:0000097,105,290857,4,2.150416374206543,0.0380952380952381,1.3752462550325417e-05,nose,Homo sapiens,,mast cell,chronic rhinitis,,female,nose
38,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000419,CL:0000145,218,290857,29,2.015672749486463,0.13302752293577982,9.970535348985927e-05,nose,Homo sapiens,,professional antigen presenting cell,chronic rhinitis,,female,nose
39,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000419,CL:0000150,437,290857,49,1.9746894057916136,0.11212814645308924,0.00016846766624148638,nose,Homo sapiens,,glandular epithelial cell,chronic rhinitis,,female,nose
40,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000419,CL:0000151,1999,290857,192,1.894441286722819,0.096048024012006,0.0006601182024156201,nose,Homo sapiens,,secretory cell,chronic rhinitis,,female,nose
41,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000419,CL:0000158,595,290857,81,1.877375473210841,0.1361344537815126,0.0002784873666440897,nose,Homo sapiens,,club cell,chronic rhinitis,,female,nose
42,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000419,CL:0000183,43,290857,6,2.424053192138672,0.13953488372093023,2.0628693825488128e-05,nose,Homo sapiens,,contractile cell,chronic rhinitis,,female,nose
43,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000419,CL:0000186,1,290857,1,1.7418859004974365,1.0,3.4381156375813543e-06,nose,Homo sapiens,,myofibroblast cell,chronic rhinitis,,female,nose
44,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000419,CL:0000235,27,290857,5,2.029861259460449,0.18518518518518517,1.7190578187906772e-05,nose,Homo sapiens,,macrophage,chronic rhinitis,,female,nose
45,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000419,CL:0000313,753,290857,49,1.8556462501992985,0.0650730411686587,0.00016846766624148638,nose,Homo sapiens,,serous secreting cell,chronic rhinitis,,female,nose
46,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000419,CL:0000319,513,290857,56,1.9355807985578264,0.10916179337231968,0.00019253447570455584,nose,Homo sapiens,,mucus secreting cell,chronic rhinitis,,female,nose
47,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000419,CL:0000542,1344,290857,143,1.8916666524393575,0.10639880952380952,0.0004916505361741337,nose,Homo sapiens,,lymphocyte,chronic rhinitis,,female,nose
48,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000419,CL:0000576,44,290857,5,1.982522201538086,0.11363636363636363,1.7190578187906772e-05,nose,Homo sapiens,,monocyte,chronic rhinitis,,female,nose
49,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000419,CL:0000622,33,290857,2,1.8722190856933594,0.06060606060606061,6.876231275162709e-06,nose,Homo sapiens,,acinar cell,chronic rhinitis,,female,nose
50,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000419,CL:0000623,10,290857,2,2.3519906997680664,0.2,6.876231275162709e-06,nose,Homo sapiens,,natural killer cell,chronic rhinitis,,female,nose
51,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000419,CL:0000624,38,290857,3,2.1347262064615884,0.07894736842105263,1.0314346912744064e-05,nose,Homo sapiens,,"CD4-positive, alpha-beta T cell",chronic rhinitis,,female,nose
52,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000419,CL:0000625,81,290857,8,2.210636854171753,0.09876543209876543,2.7504925100650835e-05,nose,Homo sapiens,,"CD8-positive, alpha-beta T cell",chronic rhinitis,,female,nose
53,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000419,CL:0000738,1711,290857,181,1.9197630487094268,0.10578609000584453,0.0006222989304022252,nose,Homo sapiens,,leukocyte,chronic rhinitis,,female,nose
54,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000419,CL:0000766,367,290857,38,2.0254944249203333,0.10354223433242507,0.00013064839422809147,nose,Homo sapiens,,myeloid leukocyte,chronic rhinitis,,female,nose
55,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000419,CL:0000786,1215,290857,130,1.8593467125525842,0.10699588477366255,0.00044695503288557606,nose,Homo sapiens,,plasma cell,chronic rhinitis,,female,nose
56,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000419,CL:0000791,119,290857,11,2.189933950250799,0.09243697478991597,3.78192720133949e-05,nose,Homo sapiens,,mature alpha-beta T cell,chronic rhinitis,,female,nose
57,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000419,CL:0000842,1579,290857,172,1.9111984607785246,0.10892970234325522,0.000591355889663993,nose,Homo sapiens,,mononuclear cell,chronic rhinitis,,female,nose
58,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000419,CL:0000860,39,290857,4,2.0682666301727295,0.10256410256410256,1.3752462550325417e-05,nose,Homo sapiens,,classical monocyte,chronic rhinitis,,female,nose
59,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000419,CL:0000861,3,290857,1,2.063420534133911,0.3333333333333333,3.4381156375813543e-06,nose,Homo sapiens,,elicited macrophage,chronic rhinitis,,female,nose
60,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000419,CL:0000875,5,290857,1,1.63954496383667,0.2,3.4381156375813543e-06,nose,Homo sapiens,,non-classical monocyte,chronic rhinitis,,female,nose
61,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000419,CL:0002075,5,290857,1,1.5203840732574463,0.2,3.4381156375813543e-06,nose,Homo sapiens,,brush cell of trachebronchial tree,chronic rhinitis,,female,nose
62,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000419,CL:0002145,351,290857,60,1.9020216623942057,0.17094017094017094,0.00020628693825488126,nose,Homo sapiens,,ciliated columnar cell of tracheobronchial tree,chronic rhinitis,,female,nose
63,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000419,CL:0002368,3963,290857,526,1.946283492751901,0.1327277315165279,0.0018084488253677924,nose,Homo sapiens,,respiratory epithelial cell,chronic rhinitis,,female,nose
64,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000419,CL:0002370,404,290857,47,1.9790498449447307,0.11633663366336634,0.00016159143496632367,nose,Homo sapiens,,respiratory goblet cell,chronic rhinitis,,female,nose
65,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000419,CL:0002399,191,290857,24,2.012716770172119,0.1256544502617801,8.251477530195251e-05,nose,Homo sapiens,,CD1c-positive myeloid dendritic cell,chronic rhinitis,,female,nose
66,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000419,CL:0002480,402,290857,46,1.9876977671747622,0.11442786069651742,0.0001581533193287423,nose,Homo sapiens,,nasal mucosa goblet cell,chronic rhinitis,,female,nose
67,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000419,CL:0002543,311,290857,40,2.0369808197021486,0.12861736334405144,0.00013752462550325418,nose,Homo sapiens,,vein endothelial cell,chronic rhinitis,,female,nose
68,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000419,CL:0002553,132,290857,14,2.044836861746652,0.10606060606060606,4.813361892613896e-05,nose,Homo sapiens,,fibroblast of lung,chronic rhinitis,,female,nose
69,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000419,CL:0002632,953,290857,143,1.8831492604075613,0.15005246589716684,0.0004916505361741337,nose,Homo sapiens,,epithelial cell of lower respiratory tract,chronic rhinitis,,female,nose
70,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000419,CL:0002633,3006,290857,382,1.971219527159686,0.1270791749833666,0.0013133601735560775,nose,Homo sapiens,,respiratory basal cell,chronic rhinitis,,female,nose
71,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000419,CL:0005006,38,290857,7,1.9683023180280412,0.18421052631578946,2.406680946306948e-05,nose,Homo sapiens,,ionocyte,chronic rhinitis,,female,nose
72,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000419,CL:0005012,375,290857,65,1.899419696514423,0.17333333333333334,0.00022347751644278803,nose,Homo sapiens,,multi-ciliated epithelial cell,chronic rhinitis,,female,nose
73,UBERON:0000004,NCBITaxon:9606,UBERON:0000004,9f222629-9e39-47d0-b83f-e08d610c7479,MONDO:0004514,unknown,PATO:0000383,Sikkema et al. Nat Med 2023,ENSG00000000419,CL:0009089,3,290857,1,2.4107205867767334,0.3333333333333333,3.4381156375813543e-06,nose,Homo sapiens,,lung pericyte,chronic rhinitis,,female,nose
